id,status,status_desc,alert_geometry_id,alert_code,source,detected_year,detected_at,area_ha,biome_id,biome,biome_area,state_id,state,state_area,city_id,city,city_area,conservation_unit_id,conservation_unit,conservation_unit_area,indigenous_land_id,indigenous_land,indigenous_land_area,quilombo_id,quilombo,quilombo_area,settlement_id,settlement,settlement_area,watershed_l1_id,watershed_l1,watershed_l1_area,watershed_l2_id,watershed_l2,watershed_l2_area,car_count,car_area_max,car_area_min,car_area_sum,car_area_sum_adj,legal_reserve_count,legal_reserve_area_max,legal_reserve_area_min,legal_reserve_area_sum,legal_reserve_area_sum_adj,ppa_count,ppa_area_max,ppa_area_min,ppa_area_sum,ppa_area_sum_adj,river_source_count,def_uas,def_uas_area,def_asv,def_asv_area,def_pmfs,def_pmfs_area,def_poa,def_poa_area,def_efp,def_efp_area,embargoed_properties_count,embargoed_properties_count_area,embargoed_properties_area_min,embargoed_properties_area_max,embargoed_properties_area_sum,before_dt,after_dt,days_interval
1264271,published,published,2104194,1264271,{SAD-MATA-ATLANTICA},2024,2024-06-30,0.5044,18416,MATA ATLÂNTICA,0.5044,18392,SÃO PAULO,0.5044,15875,Itapecerica da Serra,0.5044,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.5044111,14663.0,Tietê,0.5044111,0,,,,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2024-01-08,2024-08-12,217.0
1040,published,published,1483247,1040,{GLAD},2019,2019-01-12,0.9018,18416,MATA ATLÂNTICA,0.9018,18392,SÃO PAULO,0.9018,15413,Barra do Turvo,0.9018,12977.0,PARQUE ESTADUAL CAVERNA DO DIABO,0.9018,,,,,,,,,,14623.0,Região Hidrográfica Atlântico Sudeste,0.9018045,14607.0,Ribeira do Iguape,0.9018045,2,0.9018,0.9018,1.8036,0.9018,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2018-07-14,2018-11-03,112.0
96856,published,published,1499075,96856,{GLAD},2019,2019-01-20,2.1773,18416,MATA ATLÂNTICA,2.1773,18392,SÃO PAULO,2.1773,19147,Mairinque,2.1773,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,2.1773451,14663.0,Tietê,2.1773451,1,0.0393,0.0393,0.0393,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2018-12-06,2019-02-09,65.0
88270,published,published,1475272,88270,{GLAD},2019,2019-05-05,2.6234,18416,MATA ATLÂNTICA,2.6234,18392,SÃO PAULO,2.6234,18207,São Paulo,2.6234,14543.0,ÁREA DE PROTEçãO AMBIENTAL BORORé-COLôNIA,2.6234,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,2.6234308,14663.0,Tietê,2.6234308,4,2.6234,0.6531,5.7888,2.6234,2,1.3852,0.6873,2.0725,,1,0.4839,0.4839,0.4839,,0,0,,0,,0,,0,,0,,0,0,,,,,,
86443,published,published,1475280,86443,{GLAD},2019,2019-05-20,0.9251,18416,MATA ATLÂNTICA,0.9251,18392,SÃO PAULO,0.9251,17332,Pariquera-Açu,0.9251,,,,,,,,,,,,,14623.0,Região Hidrográfica Atlântico Sudeste,0.9250585,14607.0,Ribeira do Iguape,0.9250585,2,0.9251,0.9251,1.8501,0.9251,0,,,,,1,0.2661,0.2661,0.2661,,1,0,,0,,0,,0,,0,,0,0,,,,2019-04-20,2019-05-26,36.0
134062,published,published,1467524,134062,{GLAD},2020,2020-01-16,2.9199,18416,MATA ATLÂNTICA,2.9199,18392,SÃO PAULO,2.9199,17380,Embu das Artes,2.9199,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,2.9198985,14663.0,Tietê,2.9198985,0,,,,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,,,
249305,published,published,1413757,249305,{GLAD},2020,2020-10-13,8.0745,18416,MATA ATLÂNTICA,8.0745,18392,SÃO PAULO,8.0745,20594,Iporanga,8.0745,13496.0,APA QUILOMBOS DO MéDIO RIBEIRA,8.0745,,,,34360.0,QUILOMBOS DO MÉDIO RIBEIRA,8.0745,,,,14623.0,Região Hidrográfica Atlântico Sudeste,8.0744672,14607.0,Ribeira do Iguape,8.0744672,3,2.0336,1.5901,5.6572,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2020-07-25,2020-10-28,95.0
346819,published,published,1326854,346819,{SOS-INPE},2021,2021-05-30,1.4543,18416,MATA ATLÂNTICA,1.4543,18392,SÃO PAULO,1.4543,17298,Itariri,1.4543,13895.0,ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE,1.4543,,,,,,,,,,14623.0,Região Hidrográfica Atlântico Sudeste,1.4543073,14607.0,Ribeira do Iguape,1.4543073,0,,,,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2019-10-13,2020-01-27,106.0
427208,published,published,1519138,427208,{GLAD},2021,2021-09-23,1.7839,18416,MATA ATLÂNTICA,1.7839,18392,SÃO PAULO,1.7839,17097,Itapira,1.7839,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,1.7838956,14585.0,Grande,1.7838956,2,1.7839,1.7839,3.5678,1.7839,1,0.3324,0.3324,0.3324,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,,,
460551,published,published,1503751,460551,{SAD-MATA-ATLANTICA},2021,2021-09-01,1.6559,18416,MATA ATLÂNTICA,1.6559,18392,SÃO PAULO,1.6559,19027,Cotia,1.6559,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,1.6559337,14663.0,Tietê,1.6559337,1,1.6559,1.6559,1.6559,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,,,
460681,published,published,1447947,460681,{SAD-MATA-ATLANTICA},2021,2021-09-01,1.2676,18416,MATA ATLÂNTICA,1.2676,18392,SÃO PAULO,1.2676,18207,São Paulo,1.2676,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,1.2676058,14663.0,Tietê,1.2676058,1,1.0678,1.0678,1.0678,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,,,
549651,published,published,1321322,549651,{SAD-MATA-ATLANTICA},2022,2022-02-28,2.0505,18416,MATA ATLÂNTICA,2.0505,18392,SÃO PAULO,2.0505,20361,Avaré,2.0505,13043.0,APA CORUMBATAÍ BOTUCATU TEJUPA PERIMETRO BOTUCATU,1.3069,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,2.0505296,14599.0,Paranapanema,2.0505296,3,1.2432,0.8085,3.2585,2.0505,0,,,,,1,0.1202,0.1202,0.1202,,1,0,,0,,0,,0,,0,,0,0,,,,,,
588390,published,published,1313750,588390,{SAD-MATA-ATLANTICA},2022,2022-06-30,1.4323,18416,MATA ATLÂNTICA,1.4323,18392,SÃO PAULO,1.4323,17832,Capão Bonito,1.4323,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,1.4323224,14599.0,Paranapanema,1.4323224,0,,,,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-01-23,2022-05-01,98.0
627005,published,published,1457327,627005,{SAD-MATA-ATLANTICA},2022,2022-07-31,0.7881,18416,MATA ATLÂNTICA,0.7881,18392,SÃO PAULO,0.7881,12648,Tapiratiba,0.7881,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.7881294,14585.0,Grande,0.7881294,3,0.7881,0.7881,2.3644,0.7881,1,0.5457,0.5457,0.5457,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-05-13,2022-05-23,10.0
629185,published,published,1112639,629185,{SAD-MATA-ATLANTICA},2022,2022-07-31,1.17,18416,MATA ATLÂNTICA,1.17,18392,SÃO PAULO,1.17,17997,Barretos,1.17,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,1.1699604,14585.0,Grande,1.1699604,4,1.0805,0.0895,2.3289,1.17,1,0.8861,0.8861,0.8861,,2,0.1948,0.0866,0.2814,,0,0,,0,,0,,0,,0,,0,0,,,,2022-03-06,2022-11-28,267.0
630017,published,published,1385804,630017,{SAD-MATA-ATLANTICA},2022,2022-08-31,1.1524,18416,MATA ATLÂNTICA,1.1524,18392,SÃO PAULO,1.1524,19027,Cotia,1.1524,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,1.1523758,14663.0,Tietê,1.1523758,0,,,,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-01-21,2022-05-02,101.0
631744,published,published,1433648,631744,{SAD-MATA-ATLANTICA},2022,2022-08-31,2.147,18416,MATA ATLÂNTICA,2.147,18392,SÃO PAULO,2.147,19986,Bofete,2.147,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,2.1469772,14663.0,Tietê,2.1469772,2,2.147,2.147,4.294,2.147,1,0.7521,0.7521,0.7521,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-05-29,2022-06-24,26.0
879097,published,published,1562231,879097,{SAD-MATA-ATLANTICA},2023,2023-03-31,4.6054,18416,MATA ATLÂNTICA,4.6054,18392,SÃO PAULO,4.6054,18930,Rio Claro,4.6054,12946.0,APA PIRACICABA JUQUERI MIRIM ÁREA I,4.6054,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,4.6054007,14663.0,Tietê,4.6054007,2,4.5843,0.0157,4.6001,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-08-13,2023-02-25,196.0
880453,published,published,1561978,880453,{SAD-MATA-ATLANTICA},2023,2023-03-31,0.5322,18416,MATA ATLÂNTICA,0.5322,18392,SÃO PAULO,0.5322,18207,São Paulo,0.5322,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.5322079,14663.0,Tietê,0.5322079,2,0.2757,0.268,0.5437,0.5322,2,0.2146,0.1081,0.3227,,2,0.1884,0.0492,0.2376,,0,0,,0,,0,,0,,0,,0,0,,,,2022-08-15,2023-03-23,220.0
