id,status,status_desc,alert_geometry_id,alert_code,source,detected_year,detected_at,area_ha,biome_id,biome,biome_area,state_id,state,state_area,city_id,city,city_area,conservation_unit_id,conservation_unit,conservation_unit_area,indigenous_land_id,indigenous_land,indigenous_land_area,quilombo_id,quilombo,quilombo_area,settlement_id,settlement,settlement_area,watershed_l1_id,watershed_l1,watershed_l1_area,watershed_l2_id,watershed_l2,watershed_l2_area,car_count,car_area_max,car_area_min,car_area_sum,car_area_sum_adj,legal_reserve_count,legal_reserve_area_max,legal_reserve_area_min,legal_reserve_area_sum,legal_reserve_area_sum_adj,ppa_count,ppa_area_max,ppa_area_min,ppa_area_sum,ppa_area_sum_adj,river_source_count,def_uas,def_uas_area,def_asv,def_asv_area,def_pmfs,def_pmfs_area,def_poa,def_poa_area,def_efp,def_efp_area,embargoed_properties_count,embargoed_properties_count_area,embargoed_properties_area_min,embargoed_properties_area_max,embargoed_properties_area_sum,before_dt,after_dt,days_interval
251466,published,published,1493179,251466,{GLAD},2020,2020-10-22,9.4403,18416,MATA ATLÂNTICA,9.4403,18392,SÃO PAULO,9.4403,20519,Mogi das Cruzes,9.4403,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,9.4403278,14663.0,Tietê,9.4403278,0,,,,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,,,
460511,published,published,1376460,460511,{SAD-MATA-ATLANTICA},2021,2021-09-01,0.8505,18416,MATA ATLÂNTICA,0.8505,18392,SÃO PAULO,0.8505,20519,Mogi das Cruzes,0.8505,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.8505388,14663.0,Tietê,0.8505388,1,0.8505,0.8505,0.8505,,0,,,,,1,0.1581,0.1581,0.1581,,0,0,,0,,0,,0,,0,,0,0,,,,,,
737972,published,published,1112821,737972,{SAD-MATA-ATLANTICA},2022,2022-10-31,2.2606,18416,MATA ATLÂNTICA,2.2606,18392,SÃO PAULO,2.2606,20519,Mogi das Cruzes,2.2606,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,2.2605534,14663.0,Tietê,2.2605534,2,1.4054,0.0577,1.4631,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-02-23,2022-08-27,185.0
1208993,published,published,2009043,1208993,{SAD-MATA-ATLANTICA},2024,2024-01-31,1.2986,18416,MATA ATLÂNTICA,1.2986,18392,SÃO PAULO,1.2986,20519,Mogi das Cruzes,1.2986,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,1.2986241,14663.0,Tietê,1.2986241,0,,,,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2023-09-12,2023-11-14,63.0
804127,published,published,1275624,804127,{SAD-MATA-ATLANTICA},2023,2023-02-28,0.2412,18416,MATA ATLÂNTICA,0.2412,18392,SÃO PAULO,0.2412,20519,Mogi das Cruzes,0.2412,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.241195,14663.0,Tietê,0.241195,0,,,,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-11-19,2023-01-17,59.0
460544,published,published,1328639,460544,{SAD-MATA-ATLANTICA},2021,2021-09-01,0.5803,18416,MATA ATLÂNTICA,0.5803,18392,SÃO PAULO,0.5803,20519,Mogi das Cruzes,0.5803,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.5802978,14663.0,Tietê,0.5802978,1,0.0,0.0,0.0,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,,,
630810,published,published,1425680,630810,{SAD-MATA-ATLANTICA},2022,2022-08-31,0.3928,18416,MATA ATLÂNTICA,0.3928,18392,SÃO PAULO,0.3928,20519,Mogi das Cruzes,0.3928,,,,,,,,,,24119.0,PA ITAPETI,0.3928,14623.0,Região Hidrográfica Atlântico Sudeste,0.3927632,14700.0,Paraíba do Sul,0.3927632,2,0.3059,0.0505,0.3564,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,,,
